,model,Brand,os,rating,price,ProcessorName,ProcessorNoCores,ProcessorSpeed,RamSize,RomSize,BatteryCapacity,DisplaySize,DisplayRefreshRate,ExternalCardSupport,3G,4G,G5,Vo5G,SingleSim,DualSim,VoLTE,IRBlaster,Wi-Fi,NFC,TotalMpCameras,log_price
399,itel P36,itel,Android,,6490.0,Spreadtrum  SC7731E,4,1.3,1.0,16.0,5000.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,19.0,8.778017809698136
400,Jio JioPhone 2,Jio,Otro SO,,2999.0,Dual Core,2,2.2,8.0,4.0,2000.0,2.4,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,8.00603417874901
403,Poco C50,Poco,Android,,6499.0,Helio A22,4,2.2,2.0,32.0,5000.0,6.52,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,8.77940359789435
404,Samsung Galaxy Note 30 Ultra 5G,Samsung,Android,,104999.0,Snapdragon  8+ Gen1,8,3.2,12.0,224.0,4500.0,6.71,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,98.0,11.561706105284784
407,Vivo X80 Pro 5G,Vivo,Android,,79999.0,Snapdragon  8 Gen1,8,2.2,12.0,224.0,4700.0,6.78,120,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,82.0,11.289769413577893
422,Motorola Moto X30 Pro,Motorola,Android,,41990.0,Snapdragon 8+ Gen1,8,3.2,8.0,128.0,4450.0,6.67,144,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,186.0,10.645186773678239
423,Xiaomi 12S Ultra,Xiaomi,Android,,69990.0,Snapdragon 8+ Gen1,8,3.2,8.0,224.0,4860.0,6.73,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,178.0,11.156107653683586
425,OnePlus 10 Pro 5G (12GB RAM + 512GB),OnePlus,Android,,74999.0,Snapdragon  8 Gen1,8,2.2,12.0,224.0,5000.0,6.7,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,138.0,11.225230059096225
439,Apple iPhone SE 3 2022,Apple,Android,,43900.0,Bionic  A15,6,3.22,8.0,64.0,5000.0,4.7,60,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,19.0,10.689669599063263
447,Infinix Smart 6 HD,Infinix,Android,,6999.0,Helio A22,4,2.2,2.0,32.0,5000.0,6.6,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,8.85352256068954
