,model,Brand,os,rating,price,ProcessorName,ProcessorNoCores,ProcessorSpeed,RamSize,RomSize,BatteryCapacity,DisplaySize,DisplayRefreshRate,ExternalCardSupport,3G,4G,G5,Vo5G,SingleSim,DualSim,VoLTE,IRBlaster,Wi-Fi,NFC,TotalMpCameras,log_price
861,Vivo Y91c,Vivo,Android,,8199.0,Helio P22,8,2.2,2.0,32.0,4030.0,6.22,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,9.011767474596178
873,BlackZone Ultra 4G,BlackZone,Otro SO,,1899.0,Single Core,1,2.2,8.0,0.0,2500.0,1.8,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.549082710812286
881,Nokia 110 (2022),Nokia,Otro SO,,1599.0,No Wifi,0,2.2,8.0,0.0,1000.0,1.77,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.377133712833954
882,Nokia 5710 XpressAudio,Nokia,Android,,4799.0,No Wifi,0,2.2,8.0,0.0,5000.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.476162841858246
907,Itel A23 Pro,Itel,Android,,3999.0,Spreadtrum  SC9832E ,4,1.4,1.0,8.0,2400.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,8.293799608846818
908,Samsung Galaxy S21 Ultra 5G (12GB RAM + 128GB),Samsung,Android,,101999.0,Exynos  2100,8,2.9,12.0,128.0,5000.0,6.8,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,104.0,11.532718288296781
917,Nokia 150 (2020),Nokia,Otro SO,,2499.0,No Wifi,0,2.2,8.0,0.0,1020.0,2.4,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.823645930834952
920,Samsung Galaxy S20 Plus 5G,Samsung,Android,,85990.0,Exynos 990,8,2.73,8.0,128.0,4500.0,6.7,60,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,74.0,11.361986289404943
923,Realme A1,Realme,Android,,8999.0,Helio P70,8,2.1,2.0,16.0,4000.0,6.2,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,23.0,9.104868739033948
925,Nokia 3310 4G,Nokia,Otro SO,,3999.0,256 MB RAM,0,2.2,8.0,0.0,5000.0,2.4,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.293799608846818
926,Lyf Earth 2,Lyf,Android,,3890.0,Snapdragon MSM8939,8,1.5,3.0,32.0,2500.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,26.0,8.266164436612492
927,Samsung Guru E1200,Samsung,Otro SO,,1685.0,No Wifi,0,2.2,8.0,0.0,5000.0,1.5,60,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.429520842786462
930,iKall K88 Pro 4G,iKall,Otro SO,,2099.0,48 MB RAM,0,2.2,8.0,0.0,5000.0,2.4,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,7.649216319820633
932,Eunity U1 Livo,Eunity,Otro SO,,649.0,1.77 MHz Processor,0,2.2,8.0,0.0,1000.0,1.8,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.47543271670409
943,Samsung Galaxy Z Fold 4 (12GB RAM + 1TB),Samsung,Android,,163980.0,Snapdragon  8+ Gen1,8,3.2,12.0,224.0,4400.0,7.6,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,82.0,12.007499748150169
945,Motorola Moto Edge X30 Pro,Motorola,Android,,59990.0,Snapdragon 8+ Gen1,8,3.2,8.0,128.0,4450.0,6.67,144,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,186.0,11.00193316064714
954,Vivo X Fold 5G (12GB RAM + 512GB),Vivo,Android,,118990.0,Snapdragon 8 Gen1,8,2.2,12.0,224.0,4600.0,8.03,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,66.0,11.6867947349492
983,itel Vision 1 (3GB RAM + 32GB),itel,Android,,5890.0,Unisoc  A55,8,1.6,3.0,32.0,4000.0,6.09,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,8.681011276645632
988,Nokia 5310 Dual Sim,Nokia,Otro SO,,3399.0,8 MB RAM,0,2.2,8.0,0.0,5000.0,2.4,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.131236549696116
990,Huawei Mate 30 RS Porsche Design,Huawei,Android,,214990.0,Kirin  990,8,2.86,12.0,224.0,4500.0,6.53,60,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,72.0,12.278346794400193
992,Realme C2,Realme,Android,,6999.0,Helio P22,8,2.2,2.0,16.0,4000.0,6.1,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,20.0,8.85352256068954
993,Huawei Mate X,Huawei,Android,,169000.0,Kirin  990,8,2.86,8.0,224.0,4500.0,6.5,60,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,48.0,12.037653993905211
996,Vivo Y55S,Vivo,Android,,13490.0,Snapdragon 425,4,1.2,3.0,16.0,2730.0,5.2,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.0,9.509703949201802
1000,XTouch F40 Flip,XTouch,Otro SO,,1999.0,No 3G,0,2.2,8.0,0.0,5000.0,6.5,60,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.6004023345004
1003,Lava X3,Lava,Android,,6999.0,Helio A22,4,2.2,3.0,32.0,4000.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,8.85352256068954
1012,itel A23s,itel,Android,,4787.0,Spreadtrum  SC9832E,4,1.4,2.0,32.0,3020.0,6.5,60,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,8.473659189392508
1014,Vivo X Fold 2,Vivo,Android,,119990.0,Snapdragon 8 Gen2,8,3.2,12.0,224.0,4800.0,8.03,120,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,142.0,11.695163684958434
